DATE,RELACBW027SBOG
1987-12-01,585.0248000000000000
1988-01-01,591.1690500000000000
1988-02-01,595.1657750000000000
1988-03-01,600.8958800000000000
1988-04-01,608.3760750000000000
1988-05-01,615.0939750000000000
1988-06-01,622.0390800000000000
1988-07-01,629.2649250000000000
1988-08-01,636.7448800000000000
1988-09-01,643.8537250000000000
1988-10-01,650.9850000000000000
1988-11-01,656.4180800000000000
1988-12-01,662.1818750000000000
1989-01-01,675.3451750000000000
1989-02-01,681.8499000000000000
1989-03-01,687.8737000000000000
1989-04-01,697.5773250000000000
1989-05-01,703.8158800000000000
1989-06-01,711.5172250000000000
1989-07-01,719.4160750000000000
1989-08-01,729.3488000000000000
1989-09-01,738.7719750000000000
1989-10-01,743.9567750000000000
1989-11-01,752.0544200000000000
1989-12-01,759.6770250000000000
1990-01-01,765.2854400000000000
1990-02-01,774.7812000000000000
1990-03-01,781.3894000000000000
1990-04-01,787.6565500000000000
1990-05-01,796.8603400000000000
1990-06-01,805.0666250000000000
1990-07-01,812.9150250000000000
1990-08-01,818.8458200000000000
1990-09-01,822.5983250000000000
1990-10-01,828.7522800000000000
1990-11-01,834.0584250000000000
1990-12-01,841.4750250000000000
1991-01-01,845.8727200000000000
1991-02-01,851.6639000000000000
1991-03-01,857.2364250000000000
1991-04-01,860.0802750000000000
1991-05-01,862.0991800000000000
1991-06-01,865.8477500000000000
1991-07-01,864.5220000000000000
1991-08-01,863.5398500000000000
1991-09-01,864.2137500000000000
1991-10-01,865.6057200000000000
1991-11-01,867.1233250000000000
1991-12-01,867.7426250000000000
1992-01-01,870.6308400000000000
1992-02-01,873.5512250000000000
1992-03-01,873.5681500000000000
1992-04-01,880.8513200000000000
1992-05-01,882.0754750000000000
1992-06-01,879.5302000000000000
1992-07-01,878.4717600000000000
1992-08-01,879.8607750000000000
1992-09-01,882.6952400000000000
1992-10-01,885.5754250000000000
1992-11-01,887.3265750000000000
1992-12-01,887.6470200000000000
1993-01-01,886.1079750000000000
1993-02-01,886.5315250000000000
1993-03-01,889.8672800000000000
1993-04-01,892.5125750000000000
1993-05-01,897.4197500000000000
1993-06-01,902.1471600000000000
1993-07-01,904.1894500000000000
1993-08-01,906.7628500000000000
1993-09-01,910.3132800000000000
1993-10-01,914.7238500000000000
1993-11-01,916.9925750000000000
1993-12-01,928.2338200000000000
1994-01-01,929.3741500000000000
1994-02-01,929.6165500000000000
1994-03-01,931.6364200000000000
1994-04-01,935.3324000000000000
1994-05-01,938.7967750000000000
1994-06-01,944.2862200000000000
1994-07-01,950.9550000000000000
1994-08-01,957.1469600000000000
1994-09-01,964.7922500000000000
1994-10-01,970.5009000000000000
1994-11-01,977.1103000000000000
1994-12-01,987.5501000000000000
1995-01-01,994.8963500000000000
1995-02-01,1004.4343250000000000
1995-03-01,1013.0383400000000000
1995-04-01,1019.0033750000000000
1995-05-01,1027.3567000000000000
1995-06-01,1034.8557750000000000
1995-07-01,1043.8142500000000000
1995-08-01,1049.0858200000000000
1995-09-01,1054.5101000000000000
1995-10-01,1056.6617500000000000
1995-11-01,1059.9581800000000000
1995-12-01,1061.7806750000000000
1996-01-01,1067.7993000000000000
1996-02-01,1071.4536750000000000
1996-03-01,1077.6169000000000000
1996-04-01,1078.8957750000000000
1996-05-01,1081.3248800000000000
1996-06-01,1084.9155000000000000
1996-07-01,1081.2831800000000000
1996-08-01,1089.1730750000000000
1996-09-01,1094.6524500000000000
1996-10-01,1104.1677600000000000
1996-11-01,1110.1350500000000000
1996-12-01,1121.5749500000000000
1997-01-01,1129.6555000000000000
1997-02-01,1134.4330250000000000
1997-03-01,1147.0034250000000000
1997-04-01,1159.4935400000000000
1997-05-01,1171.2763500000000000
1997-06-01,1182.9603000000000000
1997-07-01,1190.1746600000000000
1997-08-01,1195.5968250000000000
1997-09-01,1206.2783250000000000
1997-10-01,1213.9236000000000000
1997-11-01,1218.3222500000000000
1997-12-01,1220.4540400000000000
1998-01-01,1224.2451500000000000
1998-02-01,1236.1324000000000000
1998-03-01,1250.2757500000000000
1998-04-01,1259.4460800000000000
1998-05-01,1260.0516000000000000
1998-06-01,1260.4025750000000000
1998-07-01,1265.3951800000000000
1998-08-01,1271.2986250000000000
1998-09-01,1275.1430400000000000
1998-10-01,1281.1058750000000000
1998-11-01,1299.0244750000000000
1998-12-01,1311.1527400000000000
1999-01-01,1317.7232250000000000
1999-02-01,1320.3866500000000000
1999-03-01,1326.4534000000000000
1999-04-01,1332.2451250000000000
1999-05-01,1340.2222000000000000
1999-06-01,1347.1170000000000000
1999-07-01,1353.6132250000000000
1999-08-01,1368.3046500000000000
1999-09-01,1385.6419000000000000
1999-10-01,1408.7012500000000000
1999-11-01,1419.8475250000000000
1999-12-01,1454.8972800000000000
2000-01-01,1481.8083250000000000
2000-02-01,1487.2817250000000000
2000-03-01,1516.0664400000000000
2000-04-01,1539.2612750000000000
2000-05-01,1564.2098800000000000
2000-06-01,1585.0027750000000000
2000-07-01,1598.7248250000000000
2000-08-01,1612.2830200000000000
2000-09-01,1624.4023250000000000
2000-10-01,1621.5620000000000000
2000-11-01,1631.5161800000000000
2000-12-01,1639.4701750000000000
2001-01-01,1642.8822800000000000
2001-02-01,1655.7205250000000000
2001-03-01,1668.7104750000000000
2001-04-01,1681.2419750000000000
2001-05-01,1694.7712000000000000
2001-06-01,1700.1675250000000000
2001-07-01,1701.6170250000000000
2001-08-01,1703.1260200000000000
2001-09-01,1714.1333000000000000
2001-10-01,1714.3031800000000000
2001-11-01,1735.8674000000000000
2001-12-01,1758.8511500000000000
2002-01-01,1756.9233800000000000
2002-02-01,1767.6332750000000000
2002-03-01,1771.6926500000000000
2002-04-01,1781.7954250000000000
2002-05-01,1789.2469600000000000
