DATE,IR3TCD01USM156N_PC1
2005-07-01,127.38854
2005-08-01,124.40476
2005-09-01,108.06452
2005-10-01,102.45098
2005-11-01,90.70796
2005-12-01,81.63265
2006-01-01,74.71264
2006-02-01,70.39711
2006-03-01,64.30976
2006-04-01,62.78317
2006-05-01,59.93789
2006-06-01,58.28402
2006-07-01,52.94118
2006-08-01,42.70557
2006-09-01,37.98450
2006-10-01,29.05569
2006-11-01,23.43387
2006-12-01,19.55056
2007-01-01,16.66667
2007-02-01,12.50000
2007-03-01,8.60656
2007-04-01,5.56660
2007-05-01,3.10680
2007-06-01,-0.37383
2007-07-01,-2.56410
2007-08-01,2.04461
2007-09-01,2.24719
2007-10-01,-4.69043
2007-11-01,-6.57895
2007-12-01,-5.63910
2008-01-01,-27.81955
2008-02-01,-42.37288
2008-03-01,-47.35849
2008-04-01,-46.32768
2008-05-01,-49.90584
2008-06-01,-48.21764
2008-07-01,-47.55639
2008-08-01,-49.18033
2008-09-01,-34.24908
2008-10-01,-14.96063
2008-11-01,-52.51509
2008-12-01,-64.74104
2009-01-01,-73.43750
2009-02-01,-62.09150
2009-03-01,-61.64875
2009-04-01,-68.77193
2009-05-01,-78.57143
2009-06-01,-85.86957
2009-07-01,-87.45520
2009-08-01,-89.24731
2009-09-01,-93.03621
2009-10-01,-94.44444
2009-11-01,-91.10169
2009-12-01,-87.57062
2010-01-01,-80.39216
2010-02-01,-83.62069
2010-03-01,-78.50467
2010-04-01,-66.29213
2010-05-01,-21.05263
2010-06-01,33.33333
2010-07-01,17.14286
2010-08-01,6.66667
2010-09-01,12.00000
2010-10-01,12.50000
2010-11-01,28.57143
2010-12-01,36.36364
2011-01-01,45.00000
2011-02-01,47.36842
2011-03-01,21.73913
2011-04-01,-23.33333
2011-05-01,-53.33333
2011-06-01,-57.69231
2011-07-01,-41.46341
2011-08-01,-9.37500
2011-09-01,17.85714
2011-10-01,37.03704
2011-11-01,51.85185
2011-12-01,63.33333
2012-01-01,37.93103
2012-02-01,7.14286
2012-03-01,3.57143
2012-04-01,26.08696
2012-05-01,38.09524
2012-06-01,45.45455
2012-07-01,25.00000
2012-08-01,-10.34483
2012-09-01,-27.27273
2012-10-01,-37.83784
2012-11-01,-43.90244
2012-12-01,-51.02041
2013-01-01,-42.50000
2013-02-01,-26.66667
2013-03-01,-27.58621
2013-04-01,-31.03448
2013-05-01,-31.03448
2013-06-01,-40.62500
2013-07-01,-53.33333
2013-08-01,-53.84615
2013-09-01,-54.16667
2013-10-01,-47.82609
2013-11-01,-47.82609
2013-12-01,-41.66667
2014-01-01,-47.82609
2014-02-01,-40.90909
2014-03-01,-42.85714
2014-04-01,-40.00000
2014-05-01,-45.00000
2014-06-01,-42.10526
2014-07-01,-7.14286
2014-08-01,8.33333
2014-09-01,9.09091
2014-10-01,0.00000
2014-11-01,8.33333
2014-12-01,7.14286
2015-01-01,33.33333
2015-02-01,15.38462
2015-03-01,16.66667
2015-04-01,8.33333
2015-05-01,36.36364
2015-06-01,63.63636
2015-07-01,46.15385
2015-08-01,100.00000
2015-09-01,125.00000
2015-10-01,108.33333
2015-11-01,130.76923
2015-12-01,260.00000
2016-01-01,256.25000
2016-02-01,260.00000
2016-03-01,292.85714
2016-04-01,323.07692
2016-05-01,280.00000
2016-06-01,205.55556
2016-07-01,226.31579
2016-08-01,180.76923
2016-09-01,177.77778
2016-10-01,188.00000
2016-11-01,136.66667
2016-12-01,61.11111
2017-01-01,57.89474
2017-02-01,61.11111
2017-03-01,78.18182
2017-04-01,87.27273
2017-05-01,84.21053
2017-06-01,110.90909
2017-07-01,96.77419
2017-08-01,71.23288
2017-09-01,66.66667
2017-10-01,75.00000
2017-11-01,85.91549
2017-12-01,77.01149
2018-01-01,81.11111
2018-02-01,104.59770
2018-03-01,112.24490
2018-04-01,113.59223
2018-05-01,105.71429
2018-06-01,88.79310
2018-07-01,77.86885
2018-08-01,75.20000
2018-09-01,79.20000
2018-10-01,88.09524
2018-11-01,93.93939
2018-12-01,74.67532
2019-01-01,58.89571
2019-02-01,39.88764
2019-03-01,19.23077
2019-04-01,12.27273
2019-05-01,12.96296
2019-06-01,5.02283
2019-07-01,2.30415
2019-08-01,-5.93607
2019-09-01,-9.37500
2019-10-01,-20.67511
2019-11-01,-30.85938
2019-12-01,-34.57249
2020-01-01,-36.29344
